SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"SIGNATURE","814.90","814.90","801.05","814.90","805.00","-","-9.9","-1.21","171961","13.85","1,158.00","705.20","-5.17","-27.49"
"BAYERCROP","4,112.50","4,127.50","4,050.10","4,116.10","4,107.70","-","-8.4","-0.2","33613","13.76","5,706.00","4,030.00","-0.54","-27.19"
"CONCORDBIO","1,435.40","1,460.00","1,424.40","1,428.90","1,445.00","-","16.1","1.13","93615","13.50","1,801.90","987.00","10.75","-12.33"
"MMTC","65.80","66.20","64.01","64.98","64.10","-","-0.88","-1.35","1977239","12.87","78.35","50.10","-1.54","3.37"
"PTCIL","18,898.00","19,063.00","18,720.00","18,906.00","19,000.00","-","94","0.5","6812","12.86","19,851.00","13,251.00","7.94","33.9"
"NSLNISP","44.20","44.65","43.70","44.15","43.80","-","-0.35","-0.79","2802778","12.37","53.75","33.01","1.11","22.18"
"LATENTVIEW","295.95","296.80","287.50","294.75","290.00","-","-4.75","-1.61","423620","12.36","517.50","248.00","-3.7","-27.02"
"JSWDULUX","3,169.90","3,169.90","3,080.00","3,157.00","3,100.10","-","-56.9","-1.8","39483","12.30","3,745.00","2,658.70","5.68","-9.49"
"AEGISVOPAK","280.20","280.25","272.80","280.55","275.35","-","-5.2","-1.85","442476","12.22","311.49","158.00","-2.77","11.55"
"WHIRLPOOL","800.00","800.00","782.10","795.05","787.00","-","-8.05","-1.01","153449","12.10","1,437.00","753.15","-1.02","-36.69"
"AADHARHFC","498.20","506.00","496.10","501.55","497.00","-","-4.55","-0.91","240315","12.04","563.00","430.15","-7.02","-1.82"
"JWL","262.00","262.25","257.50","262.40","258.55","-","-3.85","-1.47","459989","11.92","372.85","235.65","0.68","-21.59"
"ASAHIINDIA","903.15","906.90","879.10","901.65","890.00","-","-11.65","-1.29","133831","11.90","1,074.00","775.10","-2.72","8.79"
"CESC","160.96","162.84","160.40","161.01","162.21","-","1.2","0.75","720532","11.64","204.50","138.12","-1.05","-1.58"
"SUNTV","485.00","487.80","475.85","483.70","477.00","-","-6.7","-1.39","242137","11.61","660.70","475.85","-4.54","-17.32"
"NUVOCO","331.25","334.65","326.40","331.25","333.20","-","1.95","0.59","338524","11.19","477.50","276.25","4.06","-26.05"
"ZYDUSWELL","507.95","512.00","501.95","506.10","506.00","-","-0.1","-0.02","217895","11.08","611.85","367.55","-14.59","30.32"
"JSWCEMENT","131.52","132.45","130.20","131.52","130.58","-","-0.94","-0.71","836481","10.94","162.15","106.65","-5.53","0"
"IOB","34.30","34.51","33.71","34.21","33.90","-","-0.31","-0.91","3192118","10.90","41.80","31.20","-1.97","-6.3"
