SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"ITC","279.00","279.55","275.40","279.00","276.15","-","-2.85","-1.02","12630816","350.21","427.00","275.00","-1.99","-33.67"
"CANBK","130.00","133.11","129.60","130.30","132.00","-","1.7","1.3","26542679","350.04","162.89","103.55","2.5","20.49"
"ADANIENT","3,020.00","3,020.00","2,943.00","2,995.50","2,985.70","-","-9.8","-0.33","1160458","344.49","3,245.00","1,753.00","-5.44","34.4"
"NTPC","338.45","341.35","335.35","338.45","339.45","-","1","0.3","10152704","342.81","414.40","315.55","-1.48","-0.19"
"PINELABS","168.52","171.05","164.51","167.58","169.95","-","2.37","1.41","19985559","335.56","284.00","134.73","16.99","0"
"JIOFIN","252.75","256.05","249.00","252.75","256.05","-","3.3","1.31","13290344","334.98","333.70","223.30","5.82","-21.7"
"SAIL","172.69","175.90","171.16","173.00","174.00","-","1","0.58","18936094","328.77","209.70","118.10","3.6","42.4"
"AARTIPHARM","875.50","930.95","875.10","883.70","894.00","-","10.3","1.17","3552033","322.01","946.10","585.00","26.01","4.41"
"NESTLEIND","1,503.00","1,515.70","1,495.30","1,493.20","1,507.00","-","13.8","0.92","1990581","299.38","1,553.00","1,084.70","3.56","38.12"
"SUNPHARMA","1,942.00","1,945.70","1,926.80","1,942.00","1,944.00","-","2","0.1","1536383","297.16","2,046.90","1,548.00","0.44","19.84"
"CUMMINSIND","5,366.50","5,406.50","5,330.00","5,378.50","5,365.00","-","-13.5","-0.25","554039","296.56","6,100.00","3,729.50","-4.56","42.69"
"LENSKART","592.90","593.35","581.30","589.20","585.00","-","-4.2","-0.71","5027988","296.26","593.35","356.10","7.61","0"
"NETWEB","4,866.00","4,907.90","4,753.00","4,859.80","4,845.30","-","-14.5","-0.3","613049","295.83","5,244.00","2,037.30","12.55","131.44"
"JSWINFRA","341.85","355.00","339.00","341.85","348.00","-","6.15","1.8","8419123","294.13","355.80","233.42","5.44","16.97"
"PIDILITIND","1,685.80","1,701.50","1,679.00","1,685.80","1,701.50","-","15.7","0.93","1724562","291.85","1,701.50","1,259.00","6.44","9.72"
"VEDL","276.25","281.00","273.00","275.00","275.80","-","0.8","0.29","10568708","291.72","795.00","249.70","1.19","-36.34"
"SIEMENS","4,022.00","4,097.90","3,991.70","4,011.00","4,019.00","-","8","0.2","716413","288.71","4,097.90","2,826.00","14.94","28.19"
"ADANIPOWER","209.00","209.69","205.02","209.00","206.99","-","-2.01","-0.96","13943707","288.13","254.20","114.24","-5.25","74.97"
"ADANIGREEN","1,370.00","1,371.00","1,315.00","1,366.00","1,332.30","-","-33.7","-2.47","2152786","286.98","1,631.50","765.00","-13.3","43.12"
"DELHIVERY","475.30","475.30","466.80","473.45","470.25","-","-3.2","-0.68","6123936","286.85","524.00","374.45","-9.62","1.43"
"COFORGE","1,819.00","1,819.10","1,780.40","1,819.00","1,801.50","-","-17.5","-0.96","1592301","286.79","1,989.70","1,008.10","19.8","10.83"
"OFSS","11,851.00","11,899.00","11,532.00","11,896.00","11,679.00","-","-217","-1.82","244704","286.23","11,979.00","6,234.50","0.24","37.18"
"DRREDDY","1,206.80","1,206.80","1,190.00","1,205.00","1,200.00","-","-5","-0.41","2366909","283.70","1,414.90","1,101.00","-3.56","-1.66"
"AARTIIND","510.00","534.00","503.25","505.30","532.95","-","27.65","5.47","5378998","281.11","534.00","338.05","10.09","43.25"
"MAXHEALTH","1,030.80","1,034.90","1,001.50","1,040.00","1,007.50","-","-32.5","-3.13","2762821","279.33","1,301.70","903.00","-9.08","-20.08"
"BAJAJ-AUTO","11,729.00","11,819.00","11,678.00","11,717.00","11,700.00","-","-17","-0.15","236192","277.47","11,863.00","8,132.50","15.2","42.74"
"BATAINDIA","730.00","759.75","708.00","699.85","714.80","-","14.95","2.14","3783994","275.96","1,282.50","605.00","3.49","-37.07"
"POLYCAB","9,125.00","9,289.00","9,090.50","9,125.00","9,289.00","-","164","1.8","293852","271.00","10,126.00","6,620.00","0.85","36.53"
"MOTHERSON","170.10","171.83","168.62","169.26","169.50","-","0.24","0.14","15747026","267.64","172.00","89.70","18.37","87.77"
"SENCO","376.00","379.45","343.00","401.25","346.50","-","-54.75","-13.64","7359766","263.41","430.00","276.00","-4.32","2.51"
"AMBER","7,078.00","7,106.00","6,951.00","7,078.50","6,985.00","-","-93.5","-1.32","371574","259.98","8,974.00","5,400.50","-10.21","2.08"
"KEI","5,645.00","5,754.00","5,593.80","5,645.00","5,754.00","-","109","1.93","454178","257.63","5,754.00","3,712.20","11.74","52.84"
"ONGC","240.00","241.33","238.65","239.45","239.05","-","-0.4","-0.17","10695237","256.17","307.50","227.65","-2.41","1.5"
"EICHERMOT","8,000.50","8,049.00","7,940.00","8,000.00","8,049.00","-","49","0.61","317282","253.64","8,230.00","5,643.00","9.28","42.26"
"ADANIENSOL","1,628.50","1,629.70","1,570.20","1,622.00","1,599.00","-","-23","-1.42","1586459","252.12","1,789.00","744.90","-3.33","103.24"
"ADANIPORTS","1,669.80","1,672.70","1,640.40","1,668.20","1,665.00","-","-3.2","-0.19","1494540","247.10","1,891.10","1,290.50","-8.92","25.14"
"BELRISE","255.00","268.20","253.61","253.97","262.20","-","8.23","3.24","9422315","246.42","268.20","132.50","13.23","95.67"
